OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,City,State,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),DefaultData,Comments,ComplianceStatus,Outlier,TotalGHGEmissions,GHGEmissionsIntensity
692,2016,NonResidential,Other,2323 Elliott,2323 Elliott Avenue,Seattle,WA,98121.0,6780950000,7,DOWNTOWN,47.61234,-122.34897,1983,1.0,6,275982,197130,78852,"Office, Parking",Parking,197040.0,Office,78852.0,,,,,66.40000153,66.40000153,208.3999939,208.3999939,5233553.5,5233553.5,0.0,1533866.75,5233553.0,0.0,0.0,False,,Compliant,,36.49,0.13
693,2016,NonResidential,Small- and Mid-Sized Office,Queen Anne Square East (200),200 W Mercer St,Seattle,WA,98119.0,7015350000,7,MAGNOLIA / QUEEN ANNE,47.62497,-122.35965,1982,1.0,5,98668,0,98668,Office,Office,98668.0,,,,,2016201520142013201220102009,91.0,44.5,44.5,139.6999969,139.8999939,4391348.0,4395027.0,0.0,1287030.375,4391348.0,0.0,0.0,False,,Compliant,,30.61,0.31
694,2016,NonResidential,Large Office,Rainier Brewery,3100 Airport Way South,Seattle,WA,98134.0,7135400000,2,GREATER DUWAMISH,47.57639,-122.32072,2007,1.0,1,158931,28381,130550,"Multifamily Housing, Non-Refrigerated Warehouse, Office, Parking",Office,80157.0,Multifamily Housing,34302.0,Parking,26937.0,,12.0,67.69999695,72.19999695,199.3000031,210.3999939,8751704.0,9336260.0,0.0,2326567.5,7938248.0,8134.549805,813455.0,False,,Compliant,,98.54,0.62
696,2016,NonResidential,Large Office,"Ocean Beauty Seafoods, LLC",1100 W Ewing St,Seattle,WA,98119.0,7666200070,7,MAGNOLIA / QUEEN ANNE,47.65692,-122.37059,1978,1.0,1,105100,0,105100,Office,Office,105100.0,,,,,,1.0,210.1000061,214.8000031,571.7000122,576.5999756,22078064.0,22571400.0,0.0,5175177.5,17657706.0,44203.57031,4420357.0,False,,Compliant,,357.86,3.4
700,2016,NonResidential,Supermarket / Grocery Store,IUC- Whole Foods Interbay,2001 15th Avenue West,Seattle,WA,98119.0,7666201460,7,MAGNOLIA / QUEEN ANNE,47.63718,-122.37734,2008,1.0,1,57176,0,57176,"Personal Services (Health/Beauty, Dry Cleaning, etc), Retail Store, Supermarket/Grocery Store",Supermarket/Grocery Store,39500.0,Retail Store,15000.0,"Personal Services (Health/Beauty, Dry Cleaning, etc)",5500.0,,31.0,208.8000031,214.1000061,0.0,0.0,12525174.0,12843856.0,0.0,0.0,0.0,0.0,0.0,False,,Compliant,,0.0,0.0
701,2016,NonResidential,Retail Store,Elliot Industrial,1523-1541 15th Ave West,Seattle,WA,98121.0,7666201690,7,MAGNOLIA / QUEEN ANNE,47.63284,-122.37712,1978,1.0,1,50660,0,50660,Retail Store,Retail Store,50660.0,,,,,,51.0,52.5,58.40000153,127.3000031,133.1000061,2661488.0,2956254.5,0.0,512301.8125,1747974.0,9135.139648,913514.0,False,,Compliant,,60.7,1.2
702,2016,NonResidential,Small- and Mid-Sized Office,Hays Elliot,1461-1489 Elliot Ave W,Seattle,WA,98119.0,7666201740,7,MAGNOLIA / QUEEN ANNE,47.63156,-122.37551,1937,1.0,2,61929,0,61929,Office,Office,39879.0,,,,,,59.0,55.20000076,60.70000076,127.5999985,133.3999939,2203026.5,2421613.25,0.0,389230.5,1328054.0,8749.719727,874972.0,False,,Compliant,,55.73,0.9
703,2016,NonResidential,Large Office,501 Elliott Ave West,501 Elliot Ave West,Seattle,WA,98119.0,7666202080,7,MAGNOLIA / QUEEN ANNE,47.62302,-122.36476,2000,1.0,4,165111,55000,110111,"Data Center, Office, Parking",Office,104667.0,Parking,55000.0,Data Center,5444.0,,1.0,231.3999939,231.3999939,726.5999756,726.5999756,25478086.0,25478086.0,0.0,7467199.0,25478083.0,0.0,0.0,False,,Compliant,,177.62,1.08
704,2016,NonResidential,Large Office,401 Elliott Ave West,401 Elliot Ave West,Seattle,WA,98119.0,7666202110,7,MAGNOLIA / QUEEN ANNE,47.62235,-122.36378,2000,1.0,4,129551,42500,87051,"Data Center, Office, Parking",Office,82273.0,Parking,42500.0,Data Center,4778.0,,1.0,311.7000122,311.7000122,978.9000244,978.9000244,27137190.0,27137190.0,0.0,7953454.5,27137187.0,0.0,0.0,False,,Non-Compliant,High outlier,189.18,1.46
19755,2016,NonResidential,Small- and Mid-Sized Office,"2607 Building, LLC",2607 2nd Avenue,Seattle,WA,98121.0,0654000120,7,DOWNTOWN,47.61588,-122.34965,1925,1.0,3,20565,0,20565,Office,Office,20565.0,,,,,,65.0,39.0,40.40000153,122.5,126.6999969,802312.5,830100.0,0.0,235144.2969,802312.0,0.0,0.0,False,,Compliant,,5.59,0.27
