OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,TaxParcelIdentificationNumber,Location,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),OtherFuelUse(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2),DefaultData,Comment,ComplianceStatus,Outlier,2010 Census Tracts,Seattle Police Department Micro Community Policing Plan Areas,City Council Districts,SPD Beats,Zip Codes
19847,2015,NonResidential,Retail Store,UNIVERSITY VILLAGE EAST BLDG N,925049426,"{'latitude': '47.66384364', 'longitude': '-122.29717129', 'human_address': '{""address"": ""2623 NE UNIVERSITY VILLAGE ST"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98105""}'}",4,NORTHEAST,1956,1,2.0,25862,0,25862,"Other, Retail Store",Retail Store,25562.0,Other,300.0,,,,13.0,211.2,210.8,418.7,409.1,5462958.0,5452862.0,0.0,714006.0,2436289.0,30268.0,3026770.0,0.0,177.74,6.47,No,,Compliant,High Outlier,,53.0,,48.0,18383
19848,2015,NonResidential,Retail Store,UNIVERSITY VILLAGE EAST BLDG S,925049426,"{'latitude': '47.66384364', 'longitude': '-122.29717129', 'human_address': '{""address"": ""2623 NE UNIVERSITY VILLAGE ST"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98105""}'}",4,NORTHEAST,2003,1,2.0,49965,0,49965,"Other, Retail Store",Retail Store,47465.0,Other,2500.0,,,,80.0,69.4,68.2,213.2,209.5,3466461.0,3406767.0,0.0,983624.0,3356264.0,1103.0,110336.0,0.0,29.26,0.3,No,,Compliant,,,53.0,,48.0,18383
19849,2015,Multifamily LR (1-4),Low-Rise Multifamily,BOREALIS THE CONDOMINIUM,938000000,"{'latitude': '47.64421274', 'longitude': '-122.34911846', 'human_address': '{""address"": ""2614 4TH AVE N"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98109""}'}",7,MAGNOLIA / QUEEN ANNE,1981,1,3.0,53698,0,53698,"Multifamily Housing, Parking",Multifamily Housing,53698.0,Parking,2700.0,,,,99.0,17.9,20.7,56.3,64.9,962082.0,1110711.0,0.0,281970.0,962122.0,0.0,0.0,0.0,6.71,0.05,No,,Compliant,,,50.0,,39.0,18390
19851,2015,Multifamily MR (5-9),Mid-Rise Multifamily,ST CHARLES HOTEL APTS,939000085,"{'latitude': '47.60318375', 'longitude': '-122.33206177', 'human_address': '{""address"": ""619 3RD AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98104""}'}",7,DOWNTOWN,1911,1,6.0,23338,0,23338,"Food Service, Multifamily Housing",Multifamily Housing,29100.0,Food Service,2536.0,,,,39.0,73.9,85.8,127.8,140.3,2339133.0,2714452.0,0.0,222544.0,759351.0,15798.0,1579813.0,0.0,89.2,3.68,No,,Compliant,,,14.0,,19.0,18379
19852,2015,Multifamily MR (5-9),Mid-Rise Multifamily,CORONA LOFTS,939000100,"{'latitude': '47.60273361', 'longitude': '-122.33244324', 'human_address': '{""address"": ""606 2ND AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98104""}'}",7,DOWNTOWN,1900,1,6.0,39594,0,39594,"Multifamily Housing, Retail Store",Multifamily Housing,34137.0,Retail Store,5457.0,,,,81.0,22.6,25.0,54.2,61.7,895901.0,990034.0,0.0,168966.0,576534.0,3194.0,319391.0,0.0,20.98,0.47,No,,Compliant,,,14.0,,19.0,18379
19853,2015,NonResidential,Small- and Mid-Sized Office,HARTFORD BUILDING,939000115,"{'latitude': '47.60259628', 'longitude': '-122.33231354', 'human_address': '{""address"": ""600 2ND AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98104""}'}",7,DOWNTOWN,1929,1,2.0,20028,0,20028,Office,Office,20028.0,,,,,,95.0,27.6,32.3,65.7,71.3,552583.0,647030.0,216792.0,98415.0,335805.0,0.0,0.0,0.0,19.07,0.88,No,,Compliant,,,14.0,,19.0,18379
19854,2015,Multifamily HR (10+),High-Rise Multifamily,LOWMAN BUILDING,939000120,"{'latitude': '47.60255814', 'longitude': '-122.33382416', 'human_address': '{""address"": ""107 CHERRY ST"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98104""}'}",7,DOWNTOWN,1906,1,10.0,65535,0,65535,"Multifamily Housing, Restaurant, Retail Store",Multifamily Housing,51096.0,Retail Store,3374.0,Restaurant,1564.0,,,54.1,57.4,138.5,148.9,3031811.0,3217536.0,907147.0,622703.0,2124752.0,0.0,0.0,0.0,84.83,1.15,No,,Compliant,,,14.0,,19.0,18379
19855,2015,NonResidential,Small- and Mid-Sized Office,LOWMAN AND HANFORD BUILDING,939000125,"{'latitude': '47.60246277', 'longitude': '-122.3337326', 'human_address': '{""address"": ""616 1ST AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98104""}'}",7,DOWNTOWN,1900,1,7.0,23622,0,23622,"Office, Restaurant",Office,26195.0,Restaurant,2285.0,,,,85.0,39.3,39.3,119.7,119.7,1118346.0,1118346.0,0.0,313424.0,1069446.0,489.0,48944.0,0.0,10.05,0.23,No,,Compliant,,,14.0,,19.0,18379
19856,2015,NonResidential,Small- and Mid-Sized Office,HOWARD BUILDING,939000140,"{'latitude': '47.60234161', 'longitude': '-122.33388501', 'human_address': '{""address"": ""614 1ST AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98104""}'}",7,DOWNTOWN,1902,1,3.0,23563,0,23563,"Office, Restaurant",Office,20183.0,Restaurant,3380.0,,,,71.0,35.8,37.3,112.3,117.0,842923.0,878094.0,0.0,247047.0,842958.0,0.0,0.0,0.0,5.88,0.1,No,,Compliant,,,14.0,,19.0,18379
19857,2015,NonResidential,Mixed Use Property,110 CHERRY BUILDING,939000235,"{'latitude': '47.60284424', 'longitude': '-122.33408356', 'human_address': '{""address"": ""110 CHERRY ST"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98104""}'}",7,DOWNTOWN,1903,1,3.0,28600,0,28600,"Office, Restaurant, Retail Store",Office,12000.0,Retail Store,11000.0,Restaurant,3000.0,,,39.2,39.2,100.8,100.8,1020039.0,1020039.0,0.0,217422.0,741875.0,2782.0,278195.0,0.0,19.95,0.59,No,,Compliant,,,14.0,,19.0,18379
